Inventory ,,,,,,,,,,,,,,,,,,
System Name,IP Address,System Status,Product Type,Product SubType,Product ID,Product Model,Serial Number,Serial Number (Logical),Asset Tag,Memory Size (KB),ROM Version,Operating System Name,Operating System Vendor,Server Role,Location,System Owner,System Boot Up Time,Number Of CPU
dg-enc05,,Normal,Enclosure,Server Enclosure,507019-B21,BladeSystem c7000 Enclosure G2,USE147L8TR,,,,,,,,,,,
dg-enc05_vc_domain,,Unknown,Virtual Connect Domain,HP BladeSystem c-Class,,HP Virtual Connect Domain,,,,,,,,,,,,
dg-enc05-oa1,172.20.0.213,Normal,Management Processor,Onboard Administrator,507019-B21,BladeSystem c7000 DDR2 Onboard Administrator with KVM,OB18BP2064,,,,,Embedded,HP,,Acxiom -Downers Grov,Wintel Team,,
dg-enc05-oa2,172.20.0.214,Normal,Management Processor,Onboard Administrator,507019-B21,HP Onboard Administrator,OB1ABP0332,,,,,Embedded,HP,,Acxiom -Downers Grov,Wintel Team,,
dg-enc05-vc1,172.20.0.215,Normal,Switch,HP BladeSystem c-Class,571956-B21,HP VC FlexFabric 10Gb/24-Port Module,TW21440038,,,,,,,,BU40:dg-enc05:Bay 1,,,
dg-enc05-vc2,172.20.0.216,Normal,Switch,HP BladeSystem c-Class,571956-B21,HP VC FlexFabric 10Gb/24-Port Module,TW2144003F,,,,,,,,BU40:dg-enc05:Bay 2,,,
dg-enc05-vc3,172.20.0.217,Normal,Switch,HP BladeSystem c-Class,571956-B21,HP VC FlexFabric 10Gb/24-Port Module,TW21430094,,,,,,,,BU40:dg-enc05:Bay 3,,,
dg-enc05-vc4,172.20.0.218,Normal,Switch,HP BladeSystem c-Class,571956-B21,HP VC FlexFabric 10Gb/24-Port Module,3C432700PS,,,,,,,,BU40:dg-enc05:Bay 4,,,
dg-esxi-001,10.77.150.231,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V8,,not set,,,VMware ESXi 5.0.0 build-1918656,VMware,,,not set,"Friday, 8/7/2015, 12:31 PM CDT",24
dg-esxi-002,10.77.150.232,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V1,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Thursday, 5/16/2013, 10:38 AM CDT",24
dg-esxi-002_spsvcs001.cw.cccis.com,,Unknown,Server,Virtual Machine Guest,,,,,,,,Other 2.6.x Linux (64-bit),,,,,,
dg-esxi-003,10.77.150.233,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V7,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Tuesday, 5/10/2011, 6:31 PM CDT",24
dg-esxi-004,10.77.150.234,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8TV,,not set,,,VMware ESXi 5.0.0 build-1918656,VMware,,,not set,"Thursday, 8/6/2015, 4:13 PM CDT",24
dg-esxi-004_cmdc10,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-004_cmdc20,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-004_cmdc40,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-004_dhcp001pa,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-004_smdc10,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-004_smdc20,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2008 R2 (64-bit),,,,,,
dg-esxi-005,10.77.150.235,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V6,,not set,,,VMware ESXi 5.0.0 build-1918656,VMware,,,not set,"Thursday, 9/10/2015, 12:51 PM CDT",24
dg-esxi-005_dgcd61,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows Server 2003 (32-bit),,,,,,
dg-esxi-005_dgpa12ax,,Unknown,Server,Virtual Machine Guest,,,,,,,,Microsoft Windows 2000,,,,,,
dg-esxi-006,10.77.150.236,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V9,,not set,,,VMware ESXi 5.0.0 build-1918656,VMware,,,not set,"Thursday, 9/10/2015, 2:57 PM CDT",24
dg-esxi-007,10.77.150.237,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8TW,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Friday, 11/7/2014, 4:04 PM CST",24
dg-esxi-008,10.77.150.238,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8TY,,not set,,,VMware ESXi 5.0.0 build-1918656,VMware,,,not set,"Wednesday, 9/16/2015, 11:40 PM CDT",24
dg-esxi-010,10.77.150.240,Normal,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8TS,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Friday, 5/22/2015, 6:34 PM CDT",24
dg-esxi-010_sf-dc-acxiom2.cccis.com,,Unknown,Server,Virtual Machine Guest,,,,,,,,Other Linux (32-bit),,,,,,
